author_type,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,street,underground,price_per_square_meter
realtor,Химки,5,8,1,31.0,6499000,2012,17.839255363516518,8.0,Химки,Овражная,Подрезково,209645
realtor,Химки,5,7,1,52.3,22000000,2013,23.0,24.0,Химки,Олимпийская,Молжаниново,420650
real_estate_agent,Химки,21,30,1,60.0,21500000,2017,38.0,8.0,Химки,Кудрявцева,Химки,358333
real_estate_agent,Химки,2,16,1,36.0,7000000,2020,20.7165546156966,10.0,Химки,Микояна,Сходня,194444
realtor,Химки,11,17,1,40.1,7600000,2015,17.1,13.3,Химки,1-я Лесная,Подрезково,189526
homeowner,Химки,8,15,1,45.29,6950000,2012,18.7,9.6,Химки,Ленинградская,Сходня,153455
realtor,Химки,4,10,1,50.0,19900000,2014,22.0,12.0,Химки,Заречная,Молжаниново,398000
real_estate_agent,Химки,14,17,1,45.0,8900000,2007,19.0,11.0,Химки,8 Марта,Химки,197777
realtor,Химки,6,17,1,37.7,7900000,2003,19.0,8.0,Химки,Марии Рубцовой,Молжаниново,209549
homeowner,Химки,2,17,1,40.9,7400000,2012,21.2,11.6,Химки,тупик 2-й Мичуринский,Сходня,180929
real_estate_agent,Химки,1,8,1,33.7,7200000,2015,15.0,10.0,Химки,проезд Набережный,Шереметьевская,213649
real_estate_agent,Химки,5,23,1,54.2,11870000,2005,20.0,12.2,Химки,Лавочкина,Химки,219003
real_estate_agent,Химки,8,26,1,41.0,9499000,2017,20.0,10.0,Химки,Родионова,Молжаниново,231682
realtor,Химки,5,16,1,36.7,7800000,2006,19.8,11.4,Химки,Вишневая,Сходня,212534
realtor,Химки,5,10,1,38.0,7250000,2015,20.0,8.5,Химки,Овражная,Сходня,190789
real_estate_agent,Химки,13,16,1,36.0,7490000,2019,9.8,17.5,Химки,проезд Тепличный,Сходня,208055
realtor,Химки,6,17,1,41.6,6700000,2013,16.6,11.8,Химки,Первомайская,Сходня,161057
realtor,Химки,6,8,1,45.0,8500000,2022,16.0,18.0,Химки,Генерала Дьяконова,Шереметьевская,188888
real_estate_agent,Химки,5,8,1,30.8,6300000,2011,14.5,10.0,Химки,Овражная,Подрезково,204545
realtor,Химки,13,17,1,33.1,7700000,2017,21.0,9.0,Химки,Германа Титова,Химки,232628
homeowner,Химки,10,18,1,30.0,8000000,2019,18.0,6.0,Химки,Германа Титова,Молжаниново,266666
real_estate_agent,Химки,1,8,1,35.7,6750000,2022,18.0,12.0,Химки,Генерала Дьяконова,Шереметьевская,189075
realtor,Химки,1,5,1,40.0,7650000,2021,18.0,11.0,Химки,Ивановская,Молжаниново,191250
real_estate_agent,Химки,6,25,1,51.8,13500000,2016,20.0,15.6,Химки,9 Мая,Молжаниново,260617
