author_type,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,street,underground,price_per_square_meter
3,36,14,17,1,45.0,8900000,2007,19.0,11.0,169,107,312,197777
4,36,6,17,1,37.7,7900000,2003,19.0,8.0,169,702,155,209549
1,36,2,17,1,40.9,7400000,2012,21.2,11.6,169,1393,274,180929
3,36,1,8,1,33.7,7200000,2015,15.0,10.0,169,1349,327,213649
3,36,5,23,1,54.2,11870000,2005,20.0,12.2,169,618,312,219003
3,36,8,26,1,41.0,9499000,2017,20.0,10.0,169,965,155,231682
4,36,5,16,1,36.7,7800000,2006,19.8,11.4,169,305,274,212534
4,36,5,10,1,38.0,7250000,2015,20.0,8.5,169,840,274,190789
3,36,13,16,1,36.0,7490000,2019,9.8,17.5,169,1358,274,208055
4,36,6,17,1,41.6,6700000,2013,16.6,11.8,169,883,274,161057
4,36,6,8,1,45.0,8500000,2022,16.0,18.0,169,339,327,188888
3,36,5,8,1,30.8,6300000,2011,14.5,10.0,169,840,218,204545
4,36,13,17,1,33.1,7700000,2017,21.0,9.0,169,349,312,232628
1,36,10,18,1,30.0,8000000,2019,18.0,6.0,169,349,155,266666
3,36,1,8,1,35.7,6750000,2022,18.0,12.0,169,339,327,189075
4,36,1,5,1,40.0,7650000,2021,18.0,11.0,169,469,155,191250
3,36,6,25,1,51.8,13500000,2016,20.0,15.6,169,110,155,260617
3,36,13,19,1,44.2,7550000,2014,20.0,9.0,169,1313,274,170814
3,36,3,7,1,34.0,7100000,2012,17.6,8.0,169,646,327,208823
4,36,5,28,1,54.8,11100000,2016,20.0,13.0,169,635,312,202554
4,36,3,5,1,33.0,7500000,2023,18.99017506438855,5.793990178128798,169,883,312,227272
3,36,15,19,1,39.9,7800000,2017,18.0,11.0,169,22,177,195488
4,36,2,13,1,35.0,7500000,1994,19.0,10.0,169,876,312,214285
3,36,7,17,1,41.9,8200000,2014,15.8,12.7,169,22,218,195704
3,36,1,16,1,42.2,7200000,2023,18.0,13.0,169,1188,218,170616
4,36,14,14,1,42.6,7500000,2018,16.4,15.9,169,22,218,176056
3,36,3,6,1,42.5,7500000,2023,24.2,10.0,169,877,274,176470
4,36,6,19,1,48.6,8300000,2017,21.0,15.9,169,22,177,170781
1,36,11,19,1,42.5,8150000,2014,30.0,9.2,169,1188,218,191764
4,36,18,25,1,50.0,10500000,2013,22.0,10.0,169,1246,155,210000
4,36,5,7,1,32.5,6800000,2014,15.0,8.0,169,1349,327,209230
3,36,14,25,1,37.2,8000000,2005,20.7,10.2,169,753,155,215053
3,36,11,25,1,42.0,8500000,2023,21.0,11.0,169,1386,155,202380
4,36,17,18,1,30.4,6800000,2019,15.0,7.6,169,349,312,223684
3,36,8,20,1,40.0,10700000,2020,23.018394017440666,11.0,169,635,312,267500
3,36,8,17,1,42.0,9500000,2003,24.1693137183127,11.0,169,1246,312,226190
3,36,21,23,1,37.1,7799000,2015,16.0,12.0,169,127,239,210215
1,36,3,5,1,45.6,7500000,2014,26.24096917988236,8.00624097341434,169,1170,274,164473
1,36,6,8,1,29.9,7000000,2023,20.0,6.5,169,840,218,234113
4,36,11,17,1,44.7,9700000,2007,22.0,10.0,169,107,312,217002
3,36,12,17,1,33.0,7500000,2023,17.0,7.0,169,349,155,227272
1,36,14,17,1,38.0,7480000,2019,10.0,18.0,169,1358,177,196842
4,36,3,18,1,44.0,7500000,2013,20.0,12.5,169,883,274,170454
1,36,5,10,1,46.7,6400000,2010,18.0,16.0,169,877,274,137044
4,36,11,18,1,41.6,7300000,2023,17.0,12.0,169,883,274,175480
3,36,4,7,1,34.2,7990000,2023,14.4,8.1,169,1349,327,233625
4,36,2,10,1,31.8,7500000,2015,16.0,8.5,169,349,155,235849
4,36,6,17,1,40.0,10550000,2003,20.0,12.5,169,1246,312,263750
4,36,1,5,1,31.7,7650000,2019,17.0,12.0,169,469,155,241324
1,36,1,17,1,37.6,7900000,1998,18.9,8.4,169,164,273,210106
3,36,15,17,1,43.5,7880000,2012,18.0,11.5,169,1188,218,181149
1,36,6,9,1,47.8,6700000,2010,22.0,14.0,169,877,274,140167
3,36,12,17,1,43.8,7500000,2019,20.0,10.0,169,732,274,171232
1,36,17,17,1,48.0,7950000,2019,17.3,13.6,169,732,274,165625
4,36,3,9,1,33.4,7650000,2014,17.3,7.8,169,646,327,229041
3,36,2,3,1,41.3,9700000,2012,30.0,6.0,169,858,312,234866
4,36,8,17,1,27.0,6200000,2023,12.0,7.0,169,1358,274,229629
1,36,9,17,1,33.0,8150000,2019,18.99017506438855,8.0,169,349,312,246969
3,36,8,17,1,42.0,7800000,2023,20.0,10.0,169,22,218,185714
3,36,4,8,1,39.9,7790000,2021,22.960848032397063,9.0,169,339,327,195238
3,36,5,9,1,33.6,8000000,2013,16.0,8.4,169,646,327,238095
1,36,15,17,1,37.6,6000000,2020,15.6,10.0,169,732,274,159574
3,36,4,8,1,42.0,9500000,2022,16.0,11.5,169,339,327,226190
3,36,16,25,1,42.0,11350000,2007,18.0,10.0,169,876,312,270238
3,36,1,8,1,44.2,6000000,2023,16.0,10.0,169,339,327,135746
